unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596600000000,2020-08-05 4:00:00,ETH/USDT,389.39,390.36,387.67,388.52,30350.08777,11800596.06,11043
1596603600000,2020-08-05 5:00:00,ETH/USDT,388.5,391.48,387.08,391.4,37962.34381,14771615.09,13300
1596607200000,2020-08-05 6:00:00,ETH/USDT,391.39,394,390.23,390.36,59393.25758,23304291.26,19562
1596610800000,2020-08-05 7:00:00,ETH/USDT,390.38,392.06,389.34,390.04,22605.27275,8836609.258,10435
1596614400000,2020-08-05 8:00:00,ETH/USDT,390.05,391.79,388.7,390.35,41757.0092,16300458.35,14630
1596618000000,2020-08-05 9:00:00,ETH/USDT,390.35,393.8,390.17,393.17,44858.52254,17592209.94,16186
1596621600000,2020-08-05 10:00:00,ETH/USDT,393.2,393.49,391.05,392.54,35425.75452,13893223.19,13107
1596625200000,2020-08-05 11:00:00,ETH/USDT,392.53,397.75,392.51,397.35,70466.7727,27903233.5,26497
1596628800000,2020-08-05 12:00:00,ETH/USDT,397.34,400,395.15,398.94,76609.54583,30460582.28,29046
1596632400000,2020-08-05 13:00:00,ETH/USDT,398.95,401.43,396.98,398.98,65906.19051,26304125.52,26892
1596636000000,2020-08-05 14:00:00,ETH/USDT,398.96,399.37,390.22,394.34,75821.44706,29962264.66,31544
1596639600000,2020-08-05 15:00:00,ETH/USDT,394.34,397.11,392.84,395.3,41922.84419,16577178.63,19220
1596643200000,2020-08-05 16:00:00,ETH/USDT,395.3,402,393.6,396.18,80107.49257,31877270.29,32699
1596646800000,2020-08-05 17:00:00,ETH/USDT,396.18,397.94,394.5,397.26,27911.23279,11059764.89,13869
1596650400000,2020-08-05 18:00:00,ETH/USDT,397.27,398.65,396.3,397.43,25017.02001,9943042.316,10959
1596654000000,2020-08-05 19:00:00,ETH/USDT,397.45,400.48,397.43,398.56,39641.73126,15825089.39,15569
1596657600000,2020-08-05 20:00:00,ETH/USDT,398.56,401.2,397.5,400.09,26313.58149,10516184.59,12260
1596661200000,2020-08-05 21:00:00,ETH/USDT,400.09,407,399.32,405.3,72094.28711,29117470.44,32216
1596664800000,2020-08-05 22:00:00,ETH/USDT,405.3,405.5,391,396.72,90998.62251,36197342.58,37727
1596668400000,2020-08-05 23:00:00,ETH/USDT,396.73,402,396.53,400.72,37780.26921,15097341.19,17345
1596672000000,2020-08-06 0:00:00,ETH/USDT,400.72,403.66,398.17,399.42,45964.37256,18425139.03,22782
1596675600000,2020-08-06 1:00:00,ETH/USDT,399.39,399.39,396.32,397.61,34901.52536,13888905.85,16443
1596679200000,2020-08-06 2:00:00,ETH/USDT,397.61,397.76,394.58,397.67,33610.15063,13322044.05,15866
1596682800000,2020-08-06 3:00:00,ETH/USDT,397.66,397.68,394.73,395.23,28848.97354,11423222.69,12737
1596686400000,2020-08-06 4:00:00,ETH/USDT,395.27,395.36,392.3,393.99,41770.86627,16456534.57,20226
1596690000000,2020-08-06 5:00:00,ETH/USDT,393.98,395.82,392.6,394.53,32101.54242,12658606.39,13069
1596693600000,2020-08-06 6:00:00,ETH/USDT,394.5,397.11,394.1,396.8,22849.59417,9048029.756,10486
1596697200000,2020-08-06 7:00:00,ETH/USDT,396.83,397.1,394.44,394.9,19247.43826,7620079.012,9927
1596700800000,2020-08-06 8:00:00,ETH/USDT,394.91,397.6,394.4,397.25,30581.85079,12122268.83,15030
1596704400000,2020-08-06 9:00:00,ETH/USDT,397.28,397.9,395.94,396.41,26987.29668,10713093.28,12759
1596708000000,2020-08-06 10:00:00,ETH/USDT,396.41,396.54,393.11,393.66,32533.14666,12848814.89,15421
1596711600000,2020-08-06 11:00:00,ETH/USDT,393.67,395.83,393.21,394.5,27113.88886,10704682.64,14359
1596715200000,2020-08-06 12:00:00,ETH/USDT,394.51,397.2,394.34,396.72,28873.42089,11438423.94,14319
1596718800000,2020-08-06 13:00:00,ETH/USDT,396.73,399.57,395.59,399.19,56776.37042,22593943.07,22779
1596722400000,2020-08-06 14:00:00,ETH/USDT,399.19,399.5,394.6,396.42,47234.96813,18753576.79,21235
1596726000000,2020-08-06 15:00:00,ETH/USDT,396.42,400.87,396.33,399.15,53306.65576,21269365.88,23820
1596729600000,2020-08-06 16:00:00,ETH/USDT,399.18,400.09,396.52,398.23,47109.27503,18765829.5,20526
1596733200000,2020-08-06 17:00:00,ETH/USDT,398.23,398.78,395.18,396.76,35035.11538,13894523.93,17130
1596736800000,2020-08-06 18:00:00,ETH/USDT,396.77,397.15,394.33,396.79,29745.99175,11778892.19,15048
1596740400000,2020-08-06 19:00:00,ETH/USDT,396.79,398.36,396.06,396.73,26528.28791,10534089.73,13007
1596744000000,2020-08-06 20:00:00,ETH/USDT,396.72,398.1,394.87,396.31,30264.57584,12010102.02,14335
1596747600000,2020-08-06 21:00:00,ETH/USDT,396.3,397.58,392.28,395.23,25730.69105,10159112.39,14997
1596751200000,2020-08-06 22:00:00,ETH/USDT,395.23,396.08,393.05,394.44,27284.27151,10761046.1,14262
1596754800000,2020-08-06 23:00:00,ETH/USDT,394.44,395.16,390.51,394.77,36978.8141,14528091.2,17966
1596758400000,2020-08-07 0:00:00,ETH/USDT,394.77,396.2,393.74,395.03,24203.36219,9563551.201,12032
1596762000000,2020-08-07 1:00:00,ETH/USDT,395.04,398.26,394.86,397.05,28931.8698,11491374.87,14125
1596765600000,2020-08-07 2:00:00,ETH/USDT,397.05,398.12,395.88,396.27,17936.31058,7123952.64,9507
1596769200000,2020-08-07 3:00:00,ETH/USDT,396.25,397.41,395.26,395.43,16386.47878,6494351.877,9314
1596772800000,2020-08-07 4:00:00,ETH/USDT,395.45,396.2,393.98,395.74,19380.02951,7656613.747,9772
1596776400000,2020-08-07 5:00:00,ETH/USDT,395.73,395.91,393.26,394.5,18379.10613,7246821.639,10383
1596780000000,2020-08-07 6:00:00,ETH/USDT,394.49,395.72,393.71,394.87,13582.8118,5364482.422,7659
1596783600000,2020-08-07 7:00:00,ETH/USDT,394.87,394.96,393.21,394.13,17808.23875,7015692.831,8587
1596787200000,2020-08-07 8:00:00,ETH/USDT,394.14,396.25,392.17,395.54,30848.08163,12177189.74,14787
1596790800000,2020-08-07 9:00:00,ETH/USDT,395.55,397.43,394.8,395.9,27939.20481,11070631.37,12860
1596794400000,2020-08-07 10:00:00,ETH/USDT,395.88,396.52,394.19,394.74,21225.03532,8395338.863,9589
1596798000000,2020-08-07 11:00:00,ETH/USDT,394.75,394.77,392.96,394.13,30385.37711,11972160.1,11543
1596801600000,2020-08-07 12:00:00,ETH/USDT,394.11,394.97,391.8,394.62,33543.37439,13200179.77,13156
1596805200000,2020-08-07 13:00:00,ETH/USDT,394.62,395.54,392.63,393.98,19510.9019,7688813.435,9654
1596808800000,2020-08-07 14:00:00,ETH/USDT,393.97,394.07,376.75,384.91,137776.6147,53145000.38,56570
1596812400000,2020-08-07 15:00:00,ETH/USDT,384.9,387.85,384.14,385.49,35752.84074,13813017.17,16935
