unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1531785600000,2018-07-17 0:00:00,BTC/USDT,6723.33,7468.99,6652.04,7317.44,52105.42346,364669305,276178
1531872000000,2018-07-18 0:00:00,BTC/USDT,7317.44,7588.08,7225.38,7381.9,59487.64345,440669913.2,327949
1531958400000,2018-07-19 0:00:00,BTC/USDT,7381.88,7576.28,7270,7466.21,41218.25644,305198281.1,235597
1532044800000,2018-07-20 0:00:00,BTC/USDT,7468.86,7700,7273,7337.53,46140.31345,342862693.1,251391
1532131200000,2018-07-21 0:00:00,BTC/USDT,7337.47,7458.47,7211,7398.78,28886.49029,212126417.2,164901
1532217600000,2018-07-22 0:00:00,BTC/USDT,7399.25,7582.4,7335.5,7394.79,30270.21844,225619234.8,144711
1532304000000,2018-07-23 0:00:00,BTC/USDT,7394.78,7833,7375,7721.01,41646.34667,320156546.6,219776
1532390400000,2018-07-24 0:00:00,BTC/USDT,7721.65,8486,7696,8397.24,60121.16375,487117211.7,326329
1532476800000,2018-07-25 0:00:00,BTC/USDT,8397.24,8491.77,8050,8175.64,48257.64912,398119757.8,277935
1532563200000,2018-07-26 0:00:00,BTC/USDT,8175.63,8315.69,7850.06,7920,43223.48168,352101207.7,235681
1532649600000,2018-07-27 0:00:00,BTC/USDT,7920,8285,7805,8188.57,43671.00589,350881696.8,227397
1532736000000,2018-07-28 0:00:00,BTC/USDT,8188.57,8246.54,8067,8225.04,26215.17384,214357817,144170
1532822400000,2018-07-29 0:00:00,BTC/USDT,8225.04,8294.51,8115,8211,25531.22619,209564023.1,144331
1532908800000,2018-07-30 0:00:00,BTC/USDT,8210.99,8273,7866,8173.92,39692.41654,321599782.2,206911
1532995200000,2018-07-31 0:00:00,BTC/USDT,8171.4,8180,7633,7730.93,48296.91559,379841367.2,239132
1533081600000,2018-08-01 0:00:00,BTC/USDT,7735.67,7750,7430,7604.58,42582.31293,322252070.4,208008
1533168000000,2018-08-02 0:00:00,BTC/USDT,7600.08,7709.46,7455.72,7525.71,37665.69668,285656680.7,175627
1533254400000,2018-08-03 0:00:00,BTC/USDT,7525.71,7540,7282.44,7418.78,44669.48605,330599837.7,226727
1533340800000,2018-08-04 0:00:00,BTC/USDT,7412.27,7494.81,6926,7009.84,36288.42601,262282965.5,199335
1533427200000,2018-08-05 0:00:00,BTC/USDT,7009.84,7089.87,6882.29,7024.19,32894.84978,229992627.5,148658
1533513600000,2018-08-06 0:00:00,BTC/USDT,7024.19,7160,6821,6934.82,32760.19164,229071781.1,177378
1533600000000,2018-08-07 0:00:00,BTC/USDT,6935,7150.46,6670,6720.06,45438.4735,316365882.1,247202
