unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1531353600000,2018-07-12 0:00:00,ETH/USDT,444.99,445.36,416.94,431.14,181877.0792,78631113.03,111503
1531440000000,2018-07-13 0:00:00,ETH/USDT,431.14,442.47,424.62,432.46,150320.3253,65466673.8,99117
1531526400000,2018-07-14 0:00:00,ETH/USDT,432.43,440,428.26,433.19,122253.694,53029892.4,79509
1531612800000,2018-07-15 0:00:00,ETH/USDT,433.2,455,430.52,449.78,140415.2705,62248916.06,78257
1531699200000,2018-07-16 0:00:00,ETH/USDT,449.79,480.57,444.03,478.49,172440.7134,80398354.46,116672
1531785600000,2018-07-17 0:00:00,ETH/USDT,478.49,512,465.29,498.76,215318.0676,104290230.2,144066
1531872000000,2018-07-18 0:00:00,ETH/USDT,498.89,515.47,468.01,479.41,236137.8071,116671540.5,173309
1531958400000,2018-07-19 0:00:00,ETH/USDT,479.4,484.15,462.57,468.57,171308.0671,81153216.49,121771
1532044800000,2018-07-20 0:00:00,ETH/USDT,468.7,471.02,440,449.04,160873.3824,73878492.44,123785
1532131200000,2018-07-21 0:00:00,ETH/USDT,449.04,468.97,441.18,460.23,74259.64067,34051603.36,66636
1532217600000,2018-07-22 0:00:00,ETH/USDT,460.23,472.2,454.19,457.47,60684.89595,28129475.21,53867
1532304000000,2018-07-23 0:00:00,ETH/USDT,457.47,469.82,447.11,450.05,106561.4608,49054903.28,86295
1532390400000,2018-07-24 0:00:00,ETH/USDT,450.05,484.27,448.47,479.28,158286.759,74269738.42,112642
1532476800000,2018-07-25 0:00:00,ETH/USDT,479.24,485.77,464,472.1,170475.5494,80868121.11,118086
1532563200000,2018-07-26 0:00:00,ETH/USDT,472.11,485,460,462.64,173976.2192,82819272.57,107846
1532649600000,2018-07-27 0:00:00,ETH/USDT,462.17,474,455.84,470.09,198304.7921,92234746.46,108861
1532736000000,2018-07-28 0:00:00,ETH/USDT,470.09,472,460.82,469.29,156862.5936,73310723.78,81561
1532822400000,2018-07-29 0:00:00,ETH/USDT,468.44,472,461.6,466.4,138747.5633,64627164.92,79843
1532908800000,2018-07-30 0:00:00,ETH/USDT,466.4,469.79,446.1,456.23,179581.7942,82428123.81,103093
1532995200000,2018-07-31 0:00:00,ETH/USDT,456.19,457.3,427,432.22,214913.5723,94399725.75,117935
1533081600000,2018-08-01 0:00:00,ETH/USDT,432.2,434.99,406.55,420.41,209570.0844,88066594.01,122508
1533168000000,2018-08-02 0:00:00,ETH/USDT,420.37,425.52,407.43,410.62,178421.1067,74102793.63,103504
1533254400000,2018-08-03 0:00:00,ETH/USDT,410.62,420.01,396.61,417.52,201156.6115,82442762.71,122785
1533340800000,2018-08-04 0:00:00,ETH/USDT,417.58,419.53,401.86,407.21,179498.5752,73796154.8,102597
1533427200000,2018-08-05 0:00:00,ETH/USDT,407.21,413.24,400.16,408.79,158913.7721,64593904.84,78475
1533513600000,2018-08-06 0:00:00,ETH/USDT,408.77,413.28,397.08,405.28,166496.4247,67757484.94,98135
1533600000000,2018-08-07 0:00:00,ETH/USDT,405.19,412.76,369.19,378.21,207706.1108,83083795.05,123346
1533686400000,2018-08-08 0:00:00,ETH/USDT,378.2,380.42,347.25,355.48,275047.1079,100391980.2,170291
1533772800000,2018-08-09 0:00:00,ETH/USDT,355.48,369.9,350.51,363.3,244268.2057,88131409.54,137786
1533859200000,2018-08-10 0:00:00,ETH/USDT,363.21,365.87,325.95,331.81,264274.1338,93178451.14,165093
1533945600000,2018-08-11 0:00:00,ETH/USDT,331.88,332.98,304.45,317.69,335634.6724,106734997.2,167715
1534032000000,2018-08-12 0:00:00,ETH/USDT,317.49,327.13,313.42,317.89,135524.7999,43466733.75,77747
1534118400000,2018-08-13 0:00:00,ETH/USDT,317.96,321.99,280.68,283.81,307713.2221,94158006.49,141534
1534204800000,2018-08-14 0:00:00,ETH/USDT,283.81,283.81,250,278.41,485174.3754,127753385,221194
1534291200000,2018-08-15 0:00:00,ETH/USDT,278.47,304.45,276.3,281.12,438620.6416,126037140.7,198830
1534377600000,2018-08-16 0:00:00,ETH/USDT,281.46,298.6,277.55,287.17,235665.2551,67837020.51,116200
1534464000000,2018-08-17 0:00:00,ETH/USDT,286.84,318,285,317.51,342556.4607,103050444.6,169216
